[2026-09-03 06:25:39 UTC] NEW MATCH - stock#8108425 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-03 06:25:39 UTC] NEW MATCH - stock#8108716 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-03 06:25:39 UTC] NEW MATCH - stock#8108717 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-03 18:46:42 UTC] NEW MATCH - stock#8108714 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-04 01:20:03 UTC] NEW MATCH - stock#8108792 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113003 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113496 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113515 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113516 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113595 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113598 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113599 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113600 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113603 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113604 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113605 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113609 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-04 11:29:01 UTC] NEW MATCH - stock#8113610 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-06 08:55:35 UTC] NEW MATCH - stock#8102318 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-07 04:56:29 UTC] NEW MATCH - stock#8104538 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-07 04:56:29 UTC] NEW MATCH - stock#8113597 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-07 10:08:13 UTC] NEW MATCH - stock#8095090 | BYD ATTO 2 | Dynamic | $35,500 | available | VIC
[2026-09-07 10:08:13 UTC] NEW MATCH - stock#8109788 | BYD ATTO 2 | Dynamic | $35,660 | available | SA
[2026-09-08 05:18:29 UTC] NEW MATCH - stock#8106969 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-08 09:53:13 UTC] NEW MATCH - stock#8114337 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-08 23:24:23 UTC] NEW MATCH - stock#8101709 | BYD ATTO 2 | Dynamic | $36,125 | available | VIC
[2026-09-10 04:39:09 UTC] NEW MATCH - stock#8106973 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-10 09:12:52 UTC] NEW MATCH - stock#8113601 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-10 09:12:52 UTC] NEW MATCH - stock#8113602 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-10 09:12:52 UTC] NEW MATCH - stock#8114335 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-10 09:12:52 UTC] NEW MATCH - stock#8114338 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-10 09:12:52 UTC] NEW MATCH - stock#8114346 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-11 00:28:02 UTC] NEW MATCH - stock#8108708 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-11 00:28:02 UTC] NEW MATCH - stock#8108709 | BYD ATTO 2 | Dynamic | $34,549 | available | QLD
[2026-09-11 05:08:21 UTC] NEW MATCH - stock#8108427 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
[2026-09-11 05:08:21 UTC] NEW MATCH - stock#8113606 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 05:08:21 UTC] NEW MATCH - stock#8114341 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 05:08:21 UTC] NEW MATCH - stock#8114344 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
[2026-09-11 05:08:21 UTC] NEW MATCH - stock#8114345 | BYD ATTO 2 | Dynamic | $35,539 | available | NSW
